Label,L_x0,L_y0,L_x1,L_y1,L_x2,L_y2,L_x3,L_y3,L_x4,L_y4,L_x5,L_y5,L_x6,L_y6,L_x7,L_y7,L_x8,L_y8,L_x9,L_y9,L_x10,L_y10,L_x11,L_y11,L_x12,L_y12,L_x13,L_y13,L_x14,L_y14,L_x15,L_y15,L_x16,L_y16,L_x17,L_y17,L_x18,L_y18,L_x19,L_y19,L_x20,L_y20,R_x0,R_y0,R_x1,R_y1,R_x2,R_y2,R_x3,R_y3,R_x4,R_y4,R_x5,R_y5,R_x6,R_y6,R_x7,R_y7,R_x8,R_y8,R_x9,R_y9,R_x10,R_y10,R_x11,R_y11,R_x12,R_y12,R_x13,R_y13,R_x14,R_y14,R_x15,R_y15,R_x16,R_y16,R_x17,R_y17,R_x18,R_y18,R_x19,R_y19,R_x20,R_y20
A,0.0,0.0,-0.316517807991931,-0.06035408356426529,-0.6579113758380783,-0.29561026627461534,-0.7043198914129775,-0.5172724778357263,-0.4638150205443247,-0.5568356248069924,-0.5338295957308812,-0.7084971080400595,-0.6638656869500582,-0.7478518233516097,-0.5705236088377119,-0.49757277086445706,-0.5261122799198583,-0.5125278639127506,-0.3382335689771664,-0.7529851210223074,-0.4589772034976766,-0.7989180658367124,-0.386307918314178,-0.49228448554935517,-0.3511187591172781,-0.5207225319514448,-0.13905582148819215,-0.7472651538198917,-0.237539537776656,-0.7612934790572103,-0.19764633352294905,-0.4743141783281072,-0.15214701401459657,-0.5088710786287124,0.0684096352115872,-0.7169592390826549,-0.052093015385335305,-0.7357336358070031,-0.0448469786184255,-0.5378678579181526,0.003278871315159264,-0.5393096316948593,0.0,0.0,0.19615887438986998,-0.05290565884883298,0.3633606943949177,-0.17208657473821018,0.4150710896036642,-0.2993929168469131,0.317300506911814,-0.3428286627667342,0.28735575357512594,-0.4858116443127876,0.3607109440731347,-0.6705816869392083,0.4053112215691489,-0.7960700713431625,0.4390393603973321,-0.8984678291524418,0.14586801567250995,-0.504459926420294,0.11421141516184222,-0.6229645725614303,0.07311426426449204,-0.46080560485887867,0.09271524035269157,-0.4037787269391741,0.021431314267885578,-0.5059592238475604,-0.019546907376857804,-0.632905820031865,-0.04123925245481773,-0.4906480823251766,-0.015046988203143865,-0.43800159173709113,-0.09839393412686297,-0.48601444306596603,-0.13808338119913854,-0.6057117233657863,-0.14139061143330608,-0.5113506467784936,-0.1154889048766237,-0.4482720174106185
A,0.0,0.0,-0.3156739411777143,-0.05396019273008105,-0.6590110467591537,-0.28302052464898775,-0.7112397658737216,-0.5025831313257088,-0.47749001951055947,-0.5498086660130401,-0.5343145555319557,-0.704088445218332,-0.6676443284238063,-0.7444803897508144,-0.56867632918595,-0.490951091253384,-0.5246072461666711,-0.5077283285968655,-0.33802742559122895,-0.7482902459892995,-0.4625363984360168,-0.7952155896109966,-0.3859626203637159,-0.4862561805806786,-0.35389083412801675,-0.5188586761693541,-0.13941474440106033,-0.7433106630136421,-0.24231836651663885,-0.755908988543602,-0.19763855552430343,-0.46819161337657356,-0.15013820941447448,-0.5081015063432395,0.06612447786627258,-0.7145851908081856,-0.058795418882038215,-0.727960909356258,-0.04727209097537797,-0.5319865794758447,0.004181013312634822,-0.5410168019922286,0.0,0.0,0.19632731135112846,-0.05171344751622597,0.3673306197019607,-0.17297594553340537,0.4149453789386578,-0.3020416331048634,0.3130380174304092,-0.34039686876753605,0.29020690817631356,-0.4851998918490556,0.36573234761182155,-0.6705794676678176,0.40980496954829615,-0.793653611601654,0.4429070140811147,-0.8965675528802898,0.14882083136967922,-0.5031539321327535,0.11834944561927668,-0.6223104205987,0.0789217950812259,-0.4593192829611085,0.09832129753246918,-0.4007443789062002,0.024306880827775365,-0.5042361756017875,-0.015548999888611113,-0.6350064378182325,-0.03684124788125836,-0.48863572659443033,-0.011126187651816496,-0.43178598781367616,-0.09544772423422328,-0.4830561602651882,-0.13572958388682316,-0.6066566006805412,-0.13842086148150778,-0.5080472539731073,-0.11279123863602415,-0.4396916363386914
A,0.0,0.0,-0.3082183757874719,-0.05799258833966236,-0.6526951152529815,-0.29150442155241785,-0.7115422910458225,-0.508689554257378,-0.47633507047402673,-0.5466575738027258,-0.5357757520827701,-0.7047150503191343,-0.664871122737084,-0.7469580912945044,-0.5708047795651462,-0.49742280345476925,-0.5279389743159045,-0.5128443354491706,-0.3418128570676077,-0.7497224143714076,-0.4597124186598685,-0.7971179900354011,-0.38903488598775626,-0.49192878648957317,-0.3594128215380978,-0.5248447921854577,-0.14452523930523262,-0.7434295212634127,-0.24058885299432628,-0.7598721333608616,-0.20031190023433107,-0.47749346492913264,-0.1551143962853371,-0.5176950671398373,0.06010793477075984,-0.7139543102247122,-0.060863043466842986,-0.7308656187707808,-0.05045472780503614,-0.5391064868418943,-0.00011767511314756516,-0.5465366121230666,0.0,0.0,0.19547816905631782,-0.052682993988199756,0.36010335614209044,-0.17466220628826823,0.4118370402690169,-0.29939668306462086,0.3177362545012081,-0.34095146997360626,0.2866301854133969,-0.4899454414744795,0.361410872330836,-0.6732674736382086,0.4070192227715972,-0.7949839976405382,0.44095231830174153,-0.897530530391206,0.144644197835536,-0.5050087060864897,0.11176794538796157,-0.6262684882177506,0.07684927496630051,-0.45960988083559173,0.10013553917419818,-0.4053769271357332,0.02062969986687507,-0.5035087822410669,-0.022646331813405876,-0.6317564681121797,-0.03777888951648628,-0.48330614288162704,-0.00780888696611863,-0.43190219072408464,-0.09896518270649421,-0.4807813067366928,-0.13960440104558253,-0.6019322937772235,-0.13787026326050905,-0.5021908967774106,-0.1099560654730017,-0.43845474950935037
A,0.0,0.0,-0.3082183757874719,-0.05799258833966236,-0.6526951152529815,-0.29150442155241785,-0.7115422910458225,-0.508689554257378,-0.47633507047402673,-0.5466575738027258,-0.5357757520827701,-0.7047150503191343,-0.664871122737084,-0.7469580912945044,-0.5708047795651462,-0.49742280345476925,-0.5279389743159045,-0.5128443354491706,-0.3418128570676077,-0.7497224143714076,-0.4597124186598685,-0.7971179900354011,-0.38903488598775626,-0.49192878648957317,-0.3594128215380978,-0.5248447921854577,-0.14452523930523262,-0.7434295212634127,-0.24058885299432628,-0.7598721333608616,-0.20031190023433107,-0.47749346492913264,-0.1551143962853371,-0.5176950671398373,0.06010793477075984,-0.7139543102247122,-0.060863043466842986,-0.7308656187707808,-0.05045472780503614,-0.5391064868418943,-0.00011767511314756516,-0.5465366121230666,0.0,0.0,0.19547816905631782,-0.052682993988199756,0.36010335614209044,-0.17466220628826823,0.4118370402690169,-0.29939668306462086,0.3177362545012081,-0.34095146997360626,0.2866301854133969,-0.4899454414744795,0.361410872330836,-0.6732674736382086,0.4070192227715972,-0.7949839976405382,0.44095231830174153,-0.897530530391206,0.144644197835536,-0.5050087060864897,0.11176794538796157,-0.6262684882177506,0.07684927496630051,-0.45960988083559173,0.10013553917419818,-0.4053769271357332,0.02062969986687507,-0.5035087822410669,-0.022646331813405876,-0.6317564681121797,-0.03777888951648628,-0.48330614288162704,-0.00780888696611863,-0.43190219072408464,-0.09896518270649421,-0.4807813067366928,-0.13960440104558253,-0.6019322937772235,-0.13787026326050905,-0.5021908967774106,-0.1099560654730017,-0.43845474950935037
A,0.0,0.0,-0.3189109106115595,-0.05733050020378942,-0.6613727809746176,-0.29872359628798617,-0.702879935080843,-0.5181980993755098,-0.4601203180286397,-0.5403656527101701,-0.5363471559657071,-0.6952285860370344,-0.6629563319768965,-0.7486580674057678,-0.5709871340759979,-0.4965800833732048,-0.5283180050075181,-0.5077302414614159,-0.3419135334180604,-0.7382511891694451,-0.4594804315411613,-0.7931585874529797,-0.3890365797385531,-0.48797546671573405,-0.35380761156475055,-0.5163367787386589,-0.14565884322295772,-0.7326482611386409,-0.23948432013380483,-0.7584083337574281,-0.20242308069720777,-0.47344405751835145,-0.15520592400787128,-0.5084814438698649,0.05860451131942919,-0.7072468642623346,-0.05755649313033256,-0.7306176858843543,-0.05101550239239714,-0.5361520530071688,-0.0006789390895155632,-0.5408830196613391,0.0,0.0,0.1907101394279848,-0.05524408260555061,0.35246802121108756,-0.17758939157284223,0.4053645019632396,-0.301759711527895,0.31004265613348725,-0.3376176576793682,0.277298818643268,-0.49429409439516014,0.35722802793962033,-0.6746221537723653,0.4067763525687678,-0.7988260265610071,0.44104596678902175,-0.8974845152865519,0.13496243536925065,-0.5105675476351623,0.10349163185931899,-0.6300764908414642,0.0735052671112421,-0.4728771891355774,0.09022455636880229,-0.4128179459606599,0.010674516021961993,-0.5010224243777965,-0.03553672711226108,-0.6175328297940955,-0.04071899515501326,-0.4834231407870065,-0.01682817149204991,-0.43071163921872574,-0.11000022367688245,-0.46940068794160594,-0.156332410521722,-0.5826964358456671,-0.14537505288458757,-0.49859000841727025,-0.11572372304837707,-0.441022721035032
A,0.0,0.0,-0.3129971925779339,-0.05804351796471531,-0.6572368490859225,-0.3016733431310697,-0.7030288261133941,-0.521003034090853,-0.4589927823174312,-0.5525392104164505,-0.5324338129541463,-0.7128193740038906,-0.6624473748745429,-0.7491084537781075,-0.5750064305596981,-0.49858980400820596,-0.5304727129086185,-0.5167471948229125,-0.33783779315461887,-0.7598120641156171,-0.4592986182295758,-0.7975169281586071,-0.3904674335455775,-0.48913079388505026,-0.35343477808644236,-0.5245848058357264,-0.13783274518797559,-0.7527355674750721,-0.23472647622078702,-0.7595613497922893,-0.19831874763075918,-0.4725894678333806,-0.15157628690169644,-0.5141154218389661,0.07156657332316911,-0.7216787549959149,-0.04753485377416473,-0.7297889026619403,-0.04280894535584544,-0.5339831983758726,0.0064351626123030125,-0.5408977248346157,0.0,0.0,0.18998539412629278,-0.05649959002930444,0.34893114356698873,-0.18419445942859766,0.398307733967104,-0.3088005007199607,0.2980104922584364,-0.3391233686439456,0.2846716966963663,-0.4936591453915437,0.36886919677523133,-0.6689209245154021,0.4208425477376147,-0.7911810472295165,0.4570423548778752,-0.8894449313182274,0.1410867454507209,-0.5133896033594225,0.11372090085761236,-0.644103541042352,0.08540085704793518,-0.49223428468131597,0.09918233411183304,-0.42124616591104114,0.014505045085663006,-0.5020158181751271,-0.029653195342795757,-0.6312682223430014,-0.03559495034597371,-0.4958616325543562,-0.010957290781618528,-0.43197320580842474,-0.10695724038565058,-0.46322984483843743,-0.14952339211386861,-0.5731946355305044,-0.13962352770314773,-0.485859899241337,-0.109391173694485,-0.42455274898452433
A,0.0,0.0,-0.31651638529622916,-0.05973133990557857,-0.6606216890860395,-0.2888706639818121,-0.7074633459082287,-0.509267155033879,-0.46863173535411357,-0.563130633340065,-0.5364136137324959,-0.7187301610072191,-0.6654090763985568,-0.7464789086413759,-0.5723940503826952,-0.49479806056541215,-0.5286708521485196,-0.5171247429505192,-0.33837554303133266,-0.7662187026758625,-0.4616197607774537,-0.799294789938076,-0.3874769430182391,-0.49212401487795027,-0.350770602124692,-0.5290174470108983,-0.1358466315493515,-0.7589631595565636,-0.23222132469328083,-0.7586496861097727,-0.19403648287000957,-0.4731259126903101,-0.14888230927540513,-0.5157919925252609,0.07376944907440756,-0.726368268683466,-0.04466850133851713,-0.7269446789699718,-0.03785476697898673,-0.5303899919625015,0.010971570637682603,-0.5415534552241543,0.0,0.0,0.19113036567260197,-0.05783310729504735,0.35152014115119506,-0.18753620765913398,0.39723796112893095,-0.3112643251221338,0.2935828341597826,-0.338290247617435,0.28526257239334185,-0.484516883919784,0.37175666502186916,-0.6651724979002178,0.42558634737331547,-0.7862909087712586,0.4625542105288772,-0.8865910005870842,0.1429832243286998,-0.50730735697859,0.1176616143917826,-0.6457201539597549,0.08537114176660791,-0.5060314390117102,0.08593874021664677,-0.42206582814682625,0.01601272442623221,-0.4969855723913822,-0.02155866250370017,-0.638807373791382,-0.03189843684607864,-0.5115400429285981,-0.01755019826121097,-0.43547117597951,-0.10555022846715875,-0.45814395702557287,-0.14330075434466427,-0.5713961848902039,-0.13570631417614915,-0.4907950375443045,-0.10998795427730503,-0.42355729805969683
A,0.0,0.0,-0.31651638529622916,-0.05973133990557857,-0.6606216890860395,-0.2888706639818121,-0.7074633459082287,-0.509267155033879,-0.46863173535411357,-0.563130633340065,-0.5364136137324959,-0.7187301610072191,-0.6654090763985568,-0.7464789086413759,-0.5723940503826952,-0.49479806056541215,-0.5286708521485196,-0.5171247429505192,-0.33837554303133266,-0.7662187026758625,-0.4616197607774537,-0.799294789938076,-0.3874769430182391,-0.49212401487795027,-0.350770602124692,-0.5290174470108983,-0.1358466315493515,-0.7589631595565636,-0.23222132469328083,-0.7586496861097727,-0.19403648287000957,-0.4731259126903101,-0.14888230927540513,-0.5157919925252609,0.07376944907440756,-0.726368268683466,-0.04466850133851713,-0.7269446789699718,-0.03785476697898673,-0.5303899919625015,0.010971570637682603,-0.5415534552241543,0.0,0.0,0.19113036567260197,-0.05783310729504735,0.35152014115119506,-0.18753620765913398,0.39723796112893095,-0.3112643251221338,0.2935828341597826,-0.338290247617435,0.28526257239334185,-0.484516883919784,0.37175666502186916,-0.6651724979002178,0.42558634737331547,-0.7862909087712586,0.4625542105288772,-0.8865910005870842,0.1429832243286998,-0.50730735697859,0.1176616143917826,-0.6457201539597549,0.08537114176660791,-0.5060314390117102,0.08593874021664677,-0.42206582814682625,0.01601272442623221,-0.4969855723913822,-0.02155866250370017,-0.638807373791382,-0.03189843684607864,-0.5115400429285981,-0.01755019826121097,-0.43547117597951,-0.10555022846715875,-0.45814395702557287,-0.14330075434466427,-0.5713961848902039,-0.13570631417614915,-0.4907950375443045,-0.10998795427730503,-0.42355729805969683
A,0.0,0.0,-0.31651638529622916,-0.05973133990557857,-0.6606216890860395,-0.2888706639818121,-0.7074633459082287,-0.509267155033879,-0.46863173535411357,-0.563130633340065,-0.5364136137324959,-0.7187301610072191,-0.6654090763985568,-0.7464789086413759,-0.5723940503826952,-0.49479806056541215,-0.5286708521485196,-0.5171247429505192,-0.33837554303133266,-0.7662187026758625,-0.4616197607774537,-0.799294789938076,-0.3874769430182391,-0.49212401487795027,-0.350770602124692,-0.5290174470108983,-0.1358466315493515,-0.7589631595565636,-0.23222132469328083,-0.7586496861097727,-0.19403648287000957,-0.4731259126903101,-0.14888230927540513,-0.5157919925252609,0.07376944907440756,-0.726368268683466,-0.04466850133851713,-0.7269446789699718,-0.03785476697898673,-0.5303899919625015,0.010971570637682603,-0.5415534552241543,0.0,0.0,0.19113036567260197,-0.05783310729504735,0.35152014115119506,-0.18753620765913398,0.39723796112893095,-0.3112643251221338,0.2935828341597826,-0.338290247617435,0.28526257239334185,-0.484516883919784,0.37175666502186916,-0.6651724979002178,0.42558634737331547,-0.7862909087712586,0.4625542105288772,-0.8865910005870842,0.1429832243286998,-0.50730735697859,0.1176616143917826,-0.6457201539597549,0.08537114176660791,-0.5060314390117102,0.08593874021664677,-0.42206582814682625,0.01601272442623221,-0.4969855723913822,-0.02155866250370017,-0.638807373791382,-0.03189843684607864,-0.5115400429285981,-0.01755019826121097,-0.43547117597951,-0.10555022846715875,-0.45814395702557287,-0.14330075434466427,-0.5713961848902039,-0.13570631417614915,-0.4907950375443045,-0.10998795427730503,-0.42355729805969683
A,0.0,0.0,-0.31651638529622916,-0.05973133990557857,-0.6606216890860395,-0.2888706639818121,-0.7074633459082287,-0.509267155033879,-0.46863173535411357,-0.563130633340065,-0.5364136137324959,-0.7187301610072191,-0.6654090763985568,-0.7464789086413759,-0.5723940503826952,-0.49479806056541215,-0.5286708521485196,-0.5171247429505192,-0.33837554303133266,-0.7662187026758625,-0.4616197607774537,-0.799294789938076,-0.3874769430182391,-0.49212401487795027,-0.350770602124692,-0.5290174470108983,-0.1358466315493515,-0.7589631595565636,-0.23222132469328083,-0.7586496861097727,-0.19403648287000957,-0.4731259126903101,-0.14888230927540513,-0.5157919925252609,0.07376944907440756,-0.726368268683466,-0.04466850133851713,-0.7269446789699718,-0.03785476697898673,-0.5303899919625015,0.010971570637682603,-0.5415534552241543,0.0,0.0,0.19113036567260197,-0.05783310729504735,0.35152014115119506,-0.18753620765913398,0.39723796112893095,-0.3112643251221338,0.2935828341597826,-0.338290247617435,0.28526257239334185,-0.484516883919784,0.37175666502186916,-0.6651724979002178,0.42558634737331547,-0.7862909087712586,0.4625542105288772,-0.8865910005870842,0.1429832243286998,-0.50730735697859,0.1176616143917826,-0.6457201539597549,0.08537114176660791,-0.5060314390117102,0.08593874021664677,-0.42206582814682625,0.01601272442623221,-0.4969855723913822,-0.02155866250370017,-0.638807373791382,-0.03189843684607864,-0.5115400429285981,-0.01755019826121097,-0.43547117597951,-0.10555022846715875,-0.45814395702557287,-0.14330075434466427,-0.5713961848902039,-0.13570631417614915,-0.4907950375443045,-0.10998795427730503,-0.42355729805969683
